POSITION NUMBER,NUMBER OF POSITIONS APPROVED,NUMBER OF POSITIONS FILLED,POSITIONS RECRUITED THEMSELVES,MINIMUM AGE REQUIRED,AGE GROUP PREFERRED,ZIP CODE,PARTS OF CITY,WILL YOU BE WORKING OUTSIDE,DRESS CODE,YOUTH WORKING WITH COMPUTERS,CAREER INTEREST FOR POSITION,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,,,,,,,,,,,,,,,,,,,,,,,
72,11,8,4,16,16-21,21213,EAST,NO,NO,NO,"MUSICAL ARTS,
ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
73,1,0,1,16,16-17,21163,WEST,NO,NO,YES,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,
COMPUTER INFORMATION TECH,
CUSTODIAL,
CONSTRUCTION/MANUFACTURING,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
74,5,4,1,17,16-17,21229,WEST,NO,NO,YES,"CAMP COUNSELOR,
COMPUTER INFORMATION TECH,
CUSTODIAL,
STEM,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
75,10,3,2,16,16-21,21217,WEST,NO,YES,NO,"CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
76,9,3,2,16,16-17,21216,WEST,NO,NO,NO,"ENVIRONMENTAL/GREEN,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
77,1,0,0,16,16-21,21163,WEST,NO,NO,NO,"RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
78,5,0,4,14,14-15,21223,WEST,NO,NO,NO,"RECREATION AND SPORTS,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
79,10,3,2,16,16-21,21205,EAST,NO,YES,NO,"RECREATION AND SPORTS,
TEACHER'S AIDE,
CONSTRUCTION/MANUFACTURING,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
80,9,3,8,14,14-15,21201,DOWNTOWN,NO,NO,NO,"MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
CUSTODIAL,
COMMUNICATION/MEDIA,",PLAYS INSTRUMENT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
81,8,3,5,16,16-17,21212,EAST,NO,YES,NO,"COMMUNITY SERVICE,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
82,7,5,4,18,18-21,21212,EAST,NO,NO,YES,"VISUAL ARTS,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
COMMUNICATION/MEDIA,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
83,2,0,0,18,18-21,21220,EAST,YES,YES,YES,"RECREATION AND SPORTS,
GOVERNMENT/PUBLIC SERVICE,
CLERICAL OFFICE WORK,
LEGAL,
ARCHITECTURE,","OFFICE EQUIPMENT, MICROSOFT, DANCING",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
84,11,2,9,16,16-17,21201,DOWNTOWN,NO,YES,NO,"PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
85,5,0,3,17,16-17,21214,EAST,NO,NO,NO,"ENVIRONMENTAL/GREEN,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
86,5,0,5,14,14-15,21210,NORTH,NO,NO,NO,"GOVERNMENT/PUBLIC SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
87,29,19,25,16,16-21,21228,SOUTH,NO,YES,NO,"TEACHER'S AIDE,
CLERICAL OFFICE WORK,
GRAPHIC DESIGN,","VISUAL ARTS, OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
88,10,1,9,16,16-21,21207,WEST,YES,NO,YES,"MUSICAL ARTS,
RECREATION AND SPORTS,
CULINARY ARTS/FOOD SERVICE,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
89,2,0,1,16,16-21,21163,WEST,NO,NO,NO,"CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
90,8,0,2,15,16-21,21237,EAST,NO,NO,NO,"RECREATION AND SPORTS,
CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
LEGAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
91,4,1,0,17,16-21,21210,NORTH,NO,YES,YES,"BUSINESS/FINANCE,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
92,13,5,10,16,16-21,21216,WEST,NO,NO,NO,"TEACHER'S AIDE,
CAMP COUNSELOR,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
CONSTRUCTION/MANUFACTURING,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
93,2,1,0,14,14-21,21212,EAST,YES,YES,YES,"RECREATION AND SPORTS,
CAMP COUNSELOR,
BUSINESS/FINANCE,
NURSING,
CULINARY ARTS/FOOD SERVICE,
COMPUTER INFORMATION TECH,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
94,1,0,1,16,16-17,21163,WEST,NO,YES,YES,"CONSTRUCTION/MANUFACTURING,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
95,12,6,6,16,16-17,21229,WEST,NO,YES,NO,"PRE-SCHOOL CHILDCARE,
CLERICAL OFFICE WORK,
RETAIL (16+ YEAR OLD ONLY),","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
96,10,0,6,15,16-21,21216,WEST,NO,NO,NO,"RECREATION AND SPORTS,
TEACHER'S AIDE,
COMMUNITY SERVICE,
GRAPHIC DESIGN,",SWIMMING,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
97,5,1,1,16,16-21,21206,EAST,NO,YES,NO,"TEACHER'S AIDE,
CLERICAL OFFICE WORK,
HOSPITALITY/TRAVEL,
ELDERLY SERVICES,",MICROSOFT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
98,7,0,4,18,18-21,21214,EAST,NO,NO,NO,"RECREATION AND SPORTS,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
99,25,2,21,14,14-21,21228,SOUTH,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
CULINARY ARTS/FOOD SERVICE,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
100,13,2,5,16,16-21,21216,WEST,NO,YES,NO,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
NURSING,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
101,2,1,1,14,14-21,21163,WEST,NO,YES,YES,"CAMP COUNSELOR,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
102,28,5,22,16,16-17,21228,SOUTH,NO,YES,YES,"PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
COMMUNITY SERVICE,
CUSTODIAL,
CLERICAL OFFICE WORK,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
103,5,2,1,14,14-15,21201,DOWNTOWN,NO,NO,NO,"MUSICAL ARTS,
COMMUNITY SERVICE,",PLAYS INSTRUMENT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
104,15,2,13,14,14-15,21216,WEST,YES,NO,NO,"ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
105,10,0,4,18,18-21,21229,WEST,NO,NO,NO,"VISUAL ARTS,
BUSINESS/FINANCE,
COMMUNICATION/MEDIA,
STEM,",POETRY,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
106,3,0,2,16,16-21,21204,EAST,NO,NO,NO,"VISUAL ARTS,
MUSICAL ARTS,
CUSTODIAL,
COMMUNICATION/MEDIA,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
107,10,1,7,14,14-21,21216,WEST,NO,NO,YES,"RECREATION AND SPORTS,
COMPUTER INFORMATION TECH,
HOSPITALITY/TRAVEL,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
108,11,1,3,14,14-21,21224,EAST,YES,YES,YES,"RECREATION AND SPORTS,
CUSTODIAL,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
109,9,1,9,16,16-21,21216,WEST,NO,NO,NO,"MUSICAL ARTS,
TEACHER'S AIDE,
CAMP COUNSELOR,
BUSINESS/FINANCE,
CULINARY ARTS/FOOD SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
110,2,1,1,14,14-15,21163,WEST,NO,NO,NO,"VISUAL ARTS,
CAMP COUNSELOR,
STEM,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
111,1,0,1,15,16-17,21163,WEST,NO,NO,NO,"COMMUNITY SERVICE,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
112,1,0,1,16,16-17,21220,EAST,NO,NO,YES,"COMPUTER INFORMATION TECH,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
113,19,8,17,14,14-21,21228,SOUTH,NO,NO,NO,"CUSTODIAL,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
114,9,3,3,14,14-21,21215,WEST,NO,YES,YES,"MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,
GRAPHIC DESIGN,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
115,24,1,7,14,14-15,21228,SOUTH,YES,YES,NO,"PRE-SCHOOL CHILDCARE,
GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,
STEM,
CLERICAL OFFICE WORK,
ARCHITECTURE,
ELDERLY SERVICES,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
116,8,2,5,14,14-21,21201,DOWNTOWN,NO,YES,YES,"BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
117,5,0,0,16,16-21,21223,WEST,NO,YES,YES,"RECREATION AND SPORTS,
COMMUNITY SERVICE,
CONSTRUCTION/MANUFACTURING,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
118,8,1,6,14,14-21,21201,DOWNTOWN,NO,NO,NO,"COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
119,1,1,1,18,18-21,21220,EAST,NO,NO,NO,"ENVIRONMENTAL/GREEN,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
120,2,0,0,14,14-21,21220,EAST,NO,YES,YES,"MUSICAL ARTS,
RECREATION AND SPORTS,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
121,4,1,0,14,14-15,21214,EAST,NO,YES,YES,"VISUAL ARTS,
MUSICAL ARTS,
CAMP COUNSELOR,
BUSINESS/FINANCE,
COMMUNITY SERVICE,",PLAYS INSTRUMENT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
122,2,1,1,14,14-15,21204,EAST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
123,1,0,1,16,16-21,21227,SOUTH,NO,YES,NO,"VISUAL ARTS,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
124,7,1,0,16,16-21,21207,WEST,NO,NO,YES,"VISUAL ARTS,
CAMP COUNSELOR,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
125,2,0,0,14,14-21,21203,DOWNTOWN,YES,NO,NO,"VISUAL ARTS,
RECREATION AND SPORTS,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
126,11,2,10,16,16-17,21205,EAST,NO,NO,NO,"CAMP COUNSELOR,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
127,1,0,1,16,16-21,21163,WEST,NO,NO,NO,"TEACHER'S AIDE,
GOVERNMENT/PUBLIC SERVICE,
ELDERLY SERVICES,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
128,3,2,2,14,14-21,21220,EAST,NO,NO,YES,"PRE-SCHOOL CHILDCARE,
BUSINESS/FINANCE,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
129,1,0,1,16,16-17,21163,WEST,NO,YES,YES,"NURSING,
CLERICAL OFFICE WORK,
ARCHITECTURE,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
130,7,1,6,15,16-17,21212,EAST,NO,NO,NO,"CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
131,6,1,1,16,16-21,21202,DOWNTOWN,NO,NO,NO,"TEACHER'S AIDE,
CAMP COUNSELOR,
CONSTRUCTION/MANUFACTURING,
ELDERLY SERVICES,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
132,1,0,1,16,16-21,21163,WEST,NO,NO,NO,"VISUAL ARTS,
TEACHER'S AIDE,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
133,9,0,8,15,16-17,21201,DOWNTOWN,NO,NO,NO,"CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
134,10,1,8,14,14-15,21237,EAST,NO,NO,NO,"VISUAL ARTS,
COMMUNITY SERVICE,
CONSTRUCTION/MANUFACTURING,
LEGAL,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
135,11,3,1,15,16-17,21216,WEST,NO,NO,NO,"VISUAL ARTS,
CUSTODIAL,","VISUAL ARTS, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
136,3,2,0,15,16-17,20705,SOUTH,NO,NO,NO,"MUSICAL ARTS,
RECREATION AND SPORTS,
GOVERNMENT/PUBLIC SERVICE,
CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
RETAIL (16+ YEAR OLD ONLY),",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
137,6,0,1,16,16-21,21214,EAST,NO,NO,YES,"VISUAL ARTS,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
138,5,0,4,18,18-21,21230,SOUTH,NO,NO,NO,"VISUAL ARTS,
RECREATION AND SPORTS,
BUSINESS/FINANCE,
STEM,
ARCHITECTURE,",VISUAL ARTS,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
139,14,3,1,14,14-15,21201,DOWNTOWN,NO,NO,NO,"MUSICAL ARTS,
CAMP COUNSELOR,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
140,3,0,2,16,16-21,21216,WEST,NO,NO,YES,"PRE-SCHOOL CHILDCARE,
COMPUTER INFORMATION TECH,
STEM,
HOSPITALITY/TRAVEL,",MICROSOFT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
141,11,1,3,21,18-21,21201,DOWNTOWN,NO,YES,YES,"COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
CLERICAL OFFICE WORK,","CADD, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
142,16,1,4,16,16-21,21229,WEST,NO,NO,NO,"CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
STEM,
LEGAL,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
143,3,0,2,16,16-17,21210,NORTH,YES,NO,NO,"ENVIRONMENTAL/GREEN,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
